table,project,sponsors,link
1,KnoWait,,http://volhacks.devpost.com/submissions/58183-knowait
2,NoteGen-Old,,http://volhacks.devpost.com/submissions/58186-notegen-old
3,what3words travel journal haiku,Best Use of Esri API: Parrot Quadcopter Drone,http://volhacks.devpost.com/submissions/58188-what3words-travel-journal-haiku
4,Video Home Storage,Best Data Privacy Hack from Ubisoft: Watch Dogs 2 Collector's Edition,http://volhacks.devpost.com/submissions/58189-video-home-storage
5,badwebsite,Best Domain Name from Domain.com: Domain.com Swag Bags,http://volhacks.devpost.com/submissions/58190-badwebsite
6,@fakeDonaldTrump,,http://volhacks.devpost.com/submissions/58191-fakedonaldtrump
7,TensorTube,"Best Use of AWS: 1 TB Hard Drives, Best Hack on .tech Domain from Radix Registry: $50 Amazon Gift Cards",http://volhacks.devpost.com/submissions/58192-tensortube
8,MicroRemote,,http://volhacks.devpost.com/submissions/58201-microremote
9,eventgetLIT,"Best Use of Eventbrite API: Eventbrite Backpack and Charger, Best Use of AWS: 1 TB Hard Drives",http://volhacks.devpost.com/submissions/58222-eventgetlit
10,what_a_hack,"Best Use of Initial State API: One Year Pro Subscription to Initial State API, Best Hack with IBM Watson IoT on Bluemix: Apple Watch",http://volhacks.devpost.com/submissions/58223-what_a_hack
11,Catana,"Best Hack Against Online Harassment: Hack Harassment Swag Bags, Best Hack with IBM Watson IoT on Bluemix: Apple Watch",http://volhacks.devpost.com/submissions/58224-catana
12,Eyebleach,,http://volhacks.devpost.com/submissions/58225-eyebleach
13,Alexa read my slack ,"Best Domain Name from Domain.com: Domain.com Swag Bags, Best Use of AWS: 1 TB Hard Drives",http://volhacks.devpost.com/submissions/58227-alexa-read-my-slack
14,winternet,Best Domain Name from Domain.com: Domain.com Swag Bags,http://volhacks.devpost.com/submissions/58228-winternet
15,HeartTrends,Best Hack with IBM Watson IoT on Bluemix: Apple Watch,http://volhacks.devpost.com/submissions/58229-hearttrends
16,Tactical Traps,,http://volhacks.devpost.com/submissions/58230-tactical-traps
17,orangeyougladwedidntsingrockytop,Best Domain Name from Domain.com: Domain.com Swag Bags,http://volhacks.devpost.com/submissions/58231-orangeyougladwedidntsingrockytop
18,LED cube 4x4x4,,http://volhacks.devpost.com/submissions/58232-led-cube-4x4x4
19,ForestScene_VR,,http://volhacks.devpost.com/submissions/58233-forestscene_vr
20,volhack-citytrail,"Best Use of Esri API: Parrot Quadcopter Drone, Best Use of AWS: 1 TB Hard Drives",http://volhacks.devpost.com/submissions/58236-volhack-citytrail
21,Road-Rant,"Best Use of Initial State API: One Year Pro Subscription to Initial State API, Best Use of Location from Yik Yak, Best Use of AWS: 1 TB Hard Drives",http://volhacks.devpost.com/submissions/58240-road-rant
22,Dank Jones Industrial Average,Best Use of AWS: 1 TB Hard Drives,http://volhacks.devpost.com/submissions/58241-dank-jones-industrial-average
23,Volhacks Dungeon VR,,http://volhacks.devpost.com/submissions/58242-volhacks-dungeon-vr
24,InboxAnalyzer,Best Use of Initial State API: One Year Pro Subscription to Initial State API,http://volhacks.devpost.com/submissions/58256-inboxanalyzer
25,TurretGunner,,http://volhacks.devpost.com/submissions/58257-turretgunner
26,Parkit,"Best Use of Esri API: Parrot Quadcopter Drone, Best Use of AWS: 1 TB Hard Drives",http://volhacks.devpost.com/submissions/58276-parkit
27,RIPSim,,http://volhacks.devpost.com/submissions/58277-ripsim
28,Piece of Mind,Best Hack with IBM Watson IoT on Bluemix: Apple Watch,http://volhacks.devpost.com/submissions/58290-piece-of-mind
29,Puggr,Best Use of Location from Yik Yak,http://volhacks.devpost.com/submissions/58293-puggr
30,NoteGen,"Best Use of AWS: 1 TB Hard Drives, Best Hack on .tech Domain from Radix Registry: $50 Amazon Gift Cards",http://volhacks.devpost.com/submissions/58297-notegen
